ecc,scan_type,category,event,pl,det_dev,actual_judgment,agrees_with_human,source_dir
4,FTS,IMG,8322,38,0.07668815035349508,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event08322\PL038
4,FTS,IMG,5414,49,0.16436026428067996,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event05414\PL049
4,FTS,IMG,11357,49,0.16436026428067996,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event11357\PL049
4,FTS,IMG,633,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event00633\PL064
4,FTS,IMG,3933,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event03933\PL064
4,FTS,IMG,6107,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event06107\PL064
4,FTS,IMG,7277,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event07277\PL064
4,FTS,IMG,12037,64,0.0120754670098423,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\IMG\Event12037\PL064
4,FTS,Ref/IMG,8322,38,0.07668815035349508,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event08322\PL038
4,FTS,Ref/IMG,5414,49,0.16436026428067996,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event05414\PL049
4,FTS,Ref/IMG,11357,49,0.16436026428067996,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event11357\PL049
4,FTS,Ref/IMG,633,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event00633\PL064
4,FTS,Ref/IMG,3933,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event03933\PL064
4,FTS,Ref/IMG,6107,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event06107\PL064
4,FTS,Ref/IMG,7277,64,0.006571902118074124,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event07277\PL064
4,FTS,Ref/IMG,12037,64,0.0120754670098423,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\FTS\ECC4\Ref\IMG\Event12037\PL064
4,UTS,IMG,1587,18,0.06977798163351345,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01587\PL018
4,UTS,IMG,10208,18,0.03295904820778994,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC4\IMG\Event10208\PL018
4,UTS,IMG,10208,19,0.07785588011686895,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10208\PL019
4,UTS,IMG,3858,20,0.10637446247672244,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event03858\PL020
4,UTS,IMG,10208,20,0.01646044765353405,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10208\PL020
4,UTS,IMG,1587,21,0.07039019286773418,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01587\PL021
4,UTS,IMG,3858,21,0.07039019286773418,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event03858\PL021
4,UTS,IMG,3858,23,0.1402107612117236,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event03858\PL023
4,UTS,IMG,6295,24,0.07333819017579168,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06295\PL024
4,UTS,IMG,6983,24,0.10435282223778919,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06983\PL024_chk
4,UTS,IMG,8023,24,0.10435282223778919,l:?,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event08023\PL024_chk
4,UTS,IMG,9487,24,0.17490662364262954,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event09487\PL024
4,UTS,IMG,10478,24,0.10435282223778919,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10478\PL024
4,UTS,IMG,10544,24,0.06258279869525585,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10544\PL024
4,UTS,IMG,6295,25,0.012539978520895723,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06295\PL025
4,UTS,IMG,6738,25,0.049503423056275864,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06738\PL025
4,UTS,IMG,6983,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event06983\PL025
4,UTS,IMG,8023,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event08023\PL025
4,UTS,IMG,9487,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event09487\PL025
4,UTS,IMG,10478,25,0.033574118898272665,k:Retake,True,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event10478\PL025
