ecc,scan_type,category,event,pl,judgment,source_dir,AffineParam_a,AffineParam_b,AffineParam_c,AffineParam_d,AffineParam_e,AffineParam_f,NumOfPics,Gap,PxLen,ThickOfBase,ThickOfEmul,lens_StagePos_x,lens_StagePos_y,lens_SurfacePos,stage_StagePos_x,stage_StagePos_y,stage_SurfacePos,Track_ax,Track_ay,Track_x,Track_y
6,UTS,IMG,1694,122,l:?,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event01694\PL122,1.0004006146541387,-0.011121137705819299,0.010789049554906107,1.0004164682110022,-175666.71592545934,21735.18657940832,200,0.5,0.14,210,70,-92550.72844799364,34192.0827943874,8290.5,-92584.17758686033,34235.530541054235,8290.5,0.1569,-0.2085,83178.2,11598.1
6,UTS,IMG,2346,112,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC6\IMG\Event02346\PL112,1.0448824153107859,0.025133274666950846,-0.09296241348191678,0.929017654670851,-149403.50165184922,111031.8687082208,200,0.5,0.14,210,70,-98281.08013864674,121142.5533737554,8294,-98232.25379864665,121199.34241374522,8294,-0.215,-0.3126,48593,15806.8
6,UTS,IMG,3615,80,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03615\PL080,1.002340539009723,0.09069459954480738,0.01582205295466136,1.092315843956107,10078.796739884709,-59781.64040370821,200,0.5,0.14,210,70,71139.43749374295,-14616.624829513077,10385.75,71164.87587195185,-14619.888652962734,10385.75,-0.1223,0.016,57277.5,40515.3
6,UTS,IMG,3638,78,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03638\PL078,1.00076023057403,-0.01819977006876468,-0.022486319648278148,0.93261770517169,-297575.0220490375,26733.2520174303,200,0.5,0.14,210,70,-240675.95263347583,61829.17916586369,8266.749999999998,-240650.1289669134,61825.62331736311,8251.999999999998,-0.1226,0.0152,57591.2,39016.4
6,UTS,IMG,3638,80,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event03638\PL080,1.002340539009723,0.09069459954480738,0.01582205295466136,1.092315843956107,10078.796739884709,-59781.64040370821,200,0.5,0.14,210,70,71139.43749374295,-14616.624829513077,10389,71164.87587195185,-14619.888652962734,10389,-0.1223,0.016,57277.5,40515.3
6,UTS,IMG,5497,107,l:?,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event05497\PL107,1.0003550129816001,-0.00012699414296458595,-0.00010272007070658531,1.0005032500013318,-160894.37132801107,24332.114870768586,200,0.5,0.14,210,70,-93094.04757598604,108375.92606905103,8283.5,-93107.58986595705,108300.14234093226,8283.5,0.06451000000000001,0.3607,67773.38,83932.75
6,UTS,IMG,7506,125,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC6\IMG\Event07506\PL125,1.014701562786362,0.01707430922831924,-0.08531114870358425,0.9218840810517988,-163085.20614315008,109767.4063290947,200,0.5,0.14,210,70,-89499.6511038723,141548.20865006404,8288.75,-89490.14756230635,141637.28095253604,8288.75,-0.0368,-0.4635,71835.2,41218
6,UTS,IMG,7633,115,l:?,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event07633\PL115,1.000419566453676,0.012730878611280387,-0.013730723592334123,1.0004357157659494,-173269.00711820213,-53104.427648800985,200,0.5,0.14,210,70,-158318.14094643746,98.17145645346277,8295.25,-158330.23249674242,101.56288033360033,8295.25,0.05775,-0.01535,14253.24,53378.44
6,UTS,IMG,7982,54,l:?,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event07982\PL054,1.0001401683164215,0.06195476075638727,-0.005136260716210434,0.9033041819868117,-54781.827400023954,-197200.1743679249,200,0.5,0.14,210,70,9301.706768620212,-160414.18892658668,8002.750000000001,9391.705073390222,-160357.96959721085,8002.750000000001,-0.41,-0.2987,61616.3,41136.4
6,UTS,IMG,8742,43,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\UTS\ECC6\IMG\Event08742\PL043,0.9502515494544923,-0.04151386385520463,-0.15585350909913548,1.0879088925908118,-162305.21698568325,-77664.74635744383,200,0.5,0.14,210,70,-102529.74617370893,-15497.86035991991,5326.75,-102549.37512247846,-15411.624797301229,5326.75,0.08239,-0.36566000000000004,65795.93000000001,66648.64
4,UTS,IMG,1587,18,k:Retake,K:\NINJA\E71a\ManualCheck\ScanData\PatternMatchFailed\UTS\ECC4\IMG\Event01587\PL018,0.943781114241183,-0.0497346970345384,-0.010510505350117228,0.9861870947842498,-32595.860217484744,-253834.28234774503,200,0.5,0.14,210,70,81550.03476940742,-181528.23918454038,2025.2500000000002,81518.2378325586,-181494.0537075718,2025.2500000000002,0.15182,-0.16345,124847.26000000001,74684.04000000001
