event,pl,det_dev,predicted,source_dir
5228,43,0.00039185182473255864,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event05228\PL043
8742,43,0.00039185182473255864,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event08742\PL043
4721,56,0.000633988155350762,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event04721\PL056
7982,56,0.0009379274993170927,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event07982\PL056
8669,56,0.00023630223941117912,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event08669\PL056
4721,58,0.0007302850727515242,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event04721\PL058
8047,58,0.0006256622682703217,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event08047\PL058
8371,58,0.0006745772685212703,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event08371\PL058
4634,85,0.0010306336909653435,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event04634\PL085
7169,92,0.0011037768334651865,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event07169\PL092
1908,95,0.0012074441086407095,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event01908\PL095
1908,98,0.0011228987647515787,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event01908\PL098
8719,103,0.0011371161922224537,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event08719\PL103
4414,108,0.0009841600579427734,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event04414\PL108
5497,108,0.0009787784203947325,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event05497\PL108
7633,116,0.0007564924900489434,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event07633\PL116
9960,117,0.000787261114992388,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event09960\PL117
3802,118,0.001041615997334322,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event03802\PL118
7633,118,0.0009846801071327071,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event07633\PL118
9960,118,0.0009423245372239819,OK,K:\NINJA\E71a\ManualCheck\ScanData\FTS\ECC6\Ref\IMG\Event09960\PL118
