metric,outcome,n,mean,std,median,p05,p95,min,max
scale_x,OK,799,1.0003770408322483,0.0019707608288678513,1.00028485604197,1.0000366547636985,1.0005030052516133,0.9994786615547073,1.0430711058741946
scale_x,FAIL,98,1.0056259159533232,0.045448219198750646,1.0010128239287996,0.9269003370250284,1.0666399573338934,0.8927530525232857,1.149162388751747
scale_y,OK,799,1.0006581468094167,0.008860668876610092,1.0003793899399103,1.000172654172683,1.000589154992492,0.9054263291815873,1.1270289047156883
scale_y,FAIL,98,1.0129685610534835,0.07592717302776451,0.9994739075990277,0.9241784006627441,1.1486449807837247,0.9043209999865001,1.227141878213548
scale_dev,OK,799,0.0013069519818952023,0.00890014535272153,0.00039986089908339295,0.00021683529043681213,0.0006317414227310358,7.850567401757047e-05,0.12702890471568828
scale_dev,FAIL,98,0.06790737070292316,0.046073428436134045,0.06050452834878117,0.0015812241163685853,0.14916238875174703,0.0003436544147203957,0.22714187821354792
det,OK,799,1.0009949354012622,0.00862126421773032,1.0006666195236282,1.0002833803623536,1.0009842120628618,0.9037490124170725,1.1257133046591608
det,FAIL,98,1.0146241873388577,0.09812012980791152,0.9970304022379375,0.8936255375232776,1.2040557342854328,0.83563973571932,1.3064554351776159
det_dev,OK,799,0.0014630617017207114,0.008554186209125571,0.0006688377875312401,0.00030103061197261916,0.0009947412166167121,5.004058617685825e-05,0.12571330465916075
det_dev,FAIL,98,0.07383931591356023,0.06584207059508279,0.06509434474876535,0.005740657181359468,0.20405573428543278,0.000632706593949095,0.30645543517761586
rotation_deg,OK,799,0.05983884712358316,0.4883219525372457,0.1189604630840412,-0.7405661449709289,0.6861047956531228,-7.142488705334189,1.1476198319457707
rotation_deg,FAIL,98,-0.5742764561292326,3.6774893589788675,-0.17625093052480567,-5.889626234916655,6.398068531856989,-9.314318473592477,8.169882102818779
nonortho,OK,799,-0.0011283339257287402,0.00845689352663609,-0.0003846221351496212,-0.0010279698588776375,-0.00015381449960306405,-0.14796144539195097,0.06330172600103756
nonortho,FAIL,98,0.002466608098117181,0.09711643253153854,-0.0010146425034494473,-0.15608605030539938,0.15828041325963108,-0.22173052158264636,0.20057486221575527
translation_mag,OK,799,167472.86352233175,75364.90731995051,174427.62749211263,45970.05371327409,302280.9038641168,6555.708154882152,334652.71023741434
translation_mag,FAIL,98,188091.63789154938,73026.5501151157,191166.7233039068,58750.96328475397,307321.7596803472,20308.527101352993,325990.15060412005
